name,lat,lon,beds,operator,operator_type,osm_id,geom_type
لبيب,33.556007,35.373948,,,,386796001,Point
Bint Jbeil Governmental Hospital,33.127767,35.435531,,,,1047470386,Polygon
Al Birah Hospital,34.592199,36.231846,,,,1050028052,Polygon
مركز حليم وعايدة دانيال الأكاديمي والعلاجي,33.898169,35.484535,,American University Beirut Medical Centre,,7248082285,Point
رزق,33.885217,35.51514,,,,835249938,Polygon
Al Ghanem Hospital,33.80747,35.663242,,,,1220497889,Polygon
Kharroubi Hospital,33.451894,35.286155,,Kharobi,private,836366988,Polygon
Al Assi Hospital,34.398305,36.406249,,,,94546142,Polygon
بناية ناصيف جراحة تجميل الدكتور عماد شحاتة,33.896731,35.486588,,الدكتور عماد شحاتة,,4547573490,Point
Al Salam Hospital,34.4215,35.826841,,,,301703319,Polygon
Saint Peter,33.254642,35.380339,,,,770103343,Polygon
الدفاع المدني,33.770605,35.90133,,,,7930789032,Point
Jezzine Governmental Hospital,33.538364,35.581234,,,,844274432,Polygon
طراد,33.896955,35.491837,71,,,585187512,Polygon
Baakline Medical Center,33.678574,35.574528,,,,798537077,Polygon
Sahel General Hospital,33.857884,35.503586,,,,1052512174,Polygon
Lebanon Heart Hospital,34.418869,35.828728,,,,2910404163,Point
Sidon Turkish Trauma and Rehabilitation Hospital,33.582896,35.387749,,,,976693718,Polygon
Hôpital Notre Dame du Liban,33.981839,35.627705,,,,475308923,Polygon
مستشفى رئيس الياس الهراوي الحكومي,33.841154,35.916323,,,,842721483,Polygon
نجار,33.896778,35.486759,53,,,512476202,Point
مستشفى غندور,33.365134,35.493159,,,,891216041,Polygon
مستشفى تبنين,33.196912,35.415446,,,,837156782,Polygon
مستشفة خوري,33.853072,35.895756,,,,1181973647,Polygon
Alaa Eddine Hospital,33.459725,35.289218,,,,1015254075,Polygon
Hiram Hospital,33.281818,35.22261,,,,1012187442,Polygon
Hamed Farhat Hospital,33.629968,35.803742,,,,682712730,Polygon
Al Hayat Hospital,33.857884,35.525178,,,,9703619234,Point
Akkar Rahal Hospital,34.549967,36.078963,,,private,836107076,Polygon
Rachaya Governmental Hospital,33.509611,35.826953,,,,843152614,Polygon
Qana Governmental Hospital,33.215184,35.291737,,,public,1019828085,Polygon
Centre Médical Libano-Canadien,33.866451,35.523832,,,,6775119697,Point
مركز الشرق الاوسط الصحي الجامعي,33.904453,35.597413,,,,445619060,Polygon
مستشفى الجامعة الأمريكية,33.898559,35.484933,,,,713413597,Point
مستشفى مار يوسف,33.893201,35.554991,,,,835863086,Polygon
Minieh Governmental Hospital,34.472331,35.915442,,,,838326801,Polygon
Infirmerie,33.865593,35.576706,,Collège des Frères Mont La Salle,,5924328305,Point
DarAl Hekme,34.037694,36.189792,,,,1116373787,Polygon
Pet market & Vet hospital,33.685012,35.584888,,veterinarian,business,8210281883,Point
Nakib Hospital,33.566386,35.38983,,Trace,private,975076467,Polygon
Hôpital Libano-Français,33.833435,35.9125,,,,3094233276,Point
Hariri Medical Center Taanayel,33.782518,35.888557,,,,837165388,Polygon
دلاعة,33.557155,35.37747,,,,386795333,Point
Sibline Governmental Hospital,33.617152,35.43355,,,,943312183,Polygon
مستشفى النيني,34.435415,35.830454,,,,1857670915,Point
